transaction_id,customer_id,amount,payment_method,payment_status,failure_reason,attempt_count,checkout_abandoned,checkout_duration_seconds,previous_transactions,previous_successful_transactions,previous_success_rate,is_subscription,days_overdue,recovery_attempts,recovery_action,recovery_success,recovered_amount
TX00018,C0277,45289.92,NETBANKING,success,none,0,0,253,9,7,0.78,0,0,0,none,1,45289.92
TX00019,C2209,6789.13,WALLET,success,none,0,0,494,14,3,0.21,0,0,0,none,1,6789.13
TX00020,C0398,33017.34,NETBANKING,success,none,0,0,488,2,2,1.0,0,0,0,none,1,33017.34
TX00021,C0249,20250.54,NETBANKING,failed,network_error,1,0,206,7,7,1.0,0,0,1,retry_payment,1,20250.54
TX00022,C1895,12640.36,UPI,success,none,0,0,573,4,0,0.0,0,0,0,none,1,12640.36
TX00023,C0383,46333.08,CARD,success,none,0,0,507,16,6,0.38,1,15,0,none,1,46333.08
TX00024,C0675,19072.86,WALLET,success,none,0,0,475,10,6,0.6,1,0,0,none,1,19072.86
TX00025,C1216,11041.5,UPI,success,none,0,0,565,2,2,1.0,1,0,0,none,1,11041.5
TX00026,C2393,23944.07,CARD,success,none,0,0,530,3,1,0.33,0,0,0,none,1,23944.07
TX00027,C2438,3584.45,CARD,success,none,0,0,593,8,0,0.0,0,0,0,none,1,3584.45
TX00028,C1718,32937.18,NETBANKING,abandoned,checkout_dropoff,1,1,331,8,4,0.5,1,0,0,send_reminder,1,32937.18
TX00029,C0039,23022.62,UPI,success,none,0,0,228,17,8,0.47,0,0,0,none,1,23022.62
TX00030,C1430,44067.04,CARD,success,none,0,0,171,15,9,0.6,0,0,0,none,1,44067.04
TX00031,C2272,15109.06,UPI,abandoned,checkout_dropoff,1,1,280,4,0,0.0,0,0,0,send_reminder,1,15109.06
TX00032,C1405,10339.15,NETBANKING,success,none,0,0,267,2,0,0.0,1,7,0,none,1,10339.15
TX00033,C0181,376.58,CARD,success,none,0,0,278,6,5,0.83,1,1,0,none,1,376.58
TX00034,C1752,28133.16,UPI,success,none,0,0,162,18,1,0.06,1,1,0,none,1,28133.16
TX00035,C0607,21603.38,UPI,success,none,0,0,50,12,3,0.25,0,0,0,none,1,21603.38
TX00036,C0422,17813.2,WALLET,abandoned,checkout_dropoff,1,1,252,6,6,1.0,0,0,2,send_reminder,1,17813.2
TX00037,C1361,39162.85,WALLET,failed,bank_error,2,0,173,4,3,0.75,0,0,0,payment_link,0,0.0
TX00038,C0818,40866.01,WALLET,success,none,0,0,243,8,0,0.0,0,0,0,none,1,40866.01
TX00039,C1633,16547.45,UPI,abandoned,checkout_dropoff,2,1,369,17,12,0.71,1,30,1,payment_link,0,0.0
TX00040,C0732,29113.37,NETBANKING,success,none,0,0,454,12,11,0.92,1,0,0,none,1,29113.37
TX00041,C2095,5959.16,CARD,success,none,0,0,456,1,0,0.0,1,0,0,none,1,5959.16
TX00042,C1353,31233.14,UPI,failed,insufficient_funds,4,0,326,14,5,0.36,1,3,0,send_reminder,0,0.0
TX00043,C1723,33313.49,WALLET,failed,bank_error,4,0,592,10,6,0.6,0,0,0,payment_link,1,33313.49
TX00044,C1761,39330.79,NETBANKING,success,none,0,0,462,7,7,1.0,0,0,0,none,1,39330.79
TX00045,C0348,14332.56,NETBANKING,success,none,0,0,250,10,3,0.3,0,0,0,none,1,14332.56
TX00046,C0604,1416.38,CARD,abandoned,checkout_dropoff,4,1,84,15,13,0.87,0,0,0,send_reminder,1,1416.38
TX00047,C0605,32871.69,UPI,failed,network_error,3,0,234,6,6,1.0,1,0,0,retry_payment,0,0.0
TX00048,C0498,22931.8,WALLET,failed,timeout,4,0,334,15,13,0.87,1,15,2,retry_payment,0,0.0
TX00049,C1945,22613.47,CARD,failed,insufficient_funds,4,0,506,8,4,0.5,1,0,1,send_reminder,1,22613.47
TX00050,C1376,16121.54,UPI,success,none,0,0,246,13,11,0.85,0,0,0,none,1,16121.54
TX00051,C0877,3398.6,WALLET,success,none,0,0,487,14,0,0.0,0,0,0,none,1,3398.6
TX00052,C1721,19595.95,UPI,failed,timeout,3,0,498,1,1,1.0,1,7,1,retry_payment,0,0.0
TX00053,C2205,37426.28,CARD,success,none,0,0,289,14,7,0.5,0,0,0,none,1,37426.28
TX00054,C1593,16939.25,WALLET,failed,technical_error,1,0,556,1,1,1.0,0,0,1,payment_link,1,16939.25
TX00055,C0556,43369.2,CARD,success,none,0,0,398,11,3,0.27,1,0,0,none,1,43369.2
TX00056,C1553,14057.18,WALLET,success,none,0,0,93,16,0,0.0,0,0,0,none,1,14057.18
TX00057,C1434,11366.26,UPI,failed,network_error,0,0,263,7,0,0.0,0,0,1,retry_payment,1,11366.26
TX00058,C0469,28285.69,CARD,success,none,0,0,272,12,2,0.17,0,0,0,none,1,28285.69
TX00059,C0671,48243.09,UPI,success,none,0,0,329,19,12,0.63,1,30,0,none,1,48243.09
TX00060,C0813,3984.62,CARD,success,none,0,0,318,20,3,0.15,0,0,0,none,1,3984.62
TX00061,C1423,26730.71,NETBANKING,success,none,0,0,359,1,1,1.0,1,0,0,none,1,26730.71
TX00062,C1484,31852.14,WALLET,failed,technical_error,1,0,544,9,9,1.0,1,0,2,payment_link,0,0.0
TX00063,C1100,16250.77,CARD,failed,network_error,2,0,471,8,7,0.88,1,0,1,retry_payment,0,0.0
TX00064,C1332,9255.62,CARD,success,none,0,0,274,11,4,0.36,1,1,0,none,1,9255.62
TX00065,C2117,47413.52,UPI,success,none,0,0,426,16,7,0.44,1,1,0,none,1,47413.52
TX00066,C2011,22519.09,UPI,success,none,0,0,236,13,11,0.85,0,0,0,none,1,22519.09
TX00067,C1255,33265.21,NETBANKING,success,none,0,0,553,12,6,0.5,1,0,0,none,1,33265.21
TX00068,C1859,13691.64,NETBANKING,success,none,0,0,207,11,1,0.09,0,0,0,none,1,13691.64
TX00069,C0785,10975.96,WALLET,success,none,0,0,547,20,9,0.45,0,0,0,none,1,10975.96
TX00070,C0796,14953.07,NETBANKING,success,none,0,0,24,18,4,0.22,1,0,0,none,1,14953.07
TX00071,C0224,27757.28,CARD,success,none,0,0,512,4,0,0.0,1,0,0,none,1,27757.28
TX00072,C1805,17167.16,UPI,success,none,0,0,499,4,0,0.0,1,0,0,none,1,17167.16
TX00073,C2364,31546.4,UPI,success,none,0,0,586,10,1,0.1,0,0,0,none,1,31546.4
TX00074,C0486,27992.04,WALLET,success,none,0,0,241,17,12,0.71,1,15,0,none,1,27992.04
TX00075,C1218,43036.3,WALLET,success,none,0,0,71,20,3,0.15,0,0,0,none,1,43036.3
TX00076,C0865,13379.38,UPI,success,none,0,0,187,18,2,0.11,0,0,0,none,1,13379.38
TX00077,C0011,20544.18,WALLET,success,none,0,0,247,10,4,0.4,1,0,0,none,1,20544.18
TX00078,C0957,46210.77,CARD,success,none,0,0,567,8,2,0.25,1,7,0,none,1,46210.77
TX00079,C0293,3169.97,NETBANKING,success,none,0,0,592,10,7,0.7,0,0,0,none,1,3169.97
TX00080,C1920,34496.16,WALLET,abandoned,checkout_dropoff,4,1,562,16,14,0.88,0,0,2,payment_link,0,0.0
TX00081,C1321,30264.94,UPI,success,none,0,0,599,19,0,0.0,1,1,0,none,1,30264.94
TX00082,C0718,23630.94,WALLET,abandoned,checkout_dropoff,1,1,456,16,2,0.12,1,0,0,send_reminder,1,23630.94
TX00083,C0659,16624.22,WALLET,success,none,0,0,420,18,1,0.06,1,0,0,none,1,16624.22
TX00084,C1034,16299.03,WALLET,failed,network_error,4,0,483,14,0,0.0,0,0,2,retry_payment,0,0.0
TX00085,C1482,31207.17,WALLET,success,none,0,0,62,7,4,0.57,0,0,0,none,1,31207.17
TX00086,C1180,22018.18,WALLET,success,none,0,0,255,6,2,0.33,0,0,0,none,1,22018.18
TX00087,C2263,20517.94,CARD,abandoned,checkout_dropoff,0,1,482,4,1,0.25,1,30,1,send_reminder,0,0.0
TX00088,C1702,41769.25,WALLET,success,none,0,0,574,5,3,0.6,0,0,0,none,1,41769.25
TX00089,C2456,25510.4,CARD,failed,insufficient_funds,3,0,358,17,8,0.47,0,0,1,send_reminder,1,25510.4
TX00090,C2405,29080.18,WALLET,failed,technical_error,4,0,505,12,5,0.42,1,0,0,payment_link,1,29080.18
TX00091,C0979,28675.52,CARD,failed,technical_error,0,0,335,16,12,0.75,1,30,2,payment_link,0,0.0
TX00092,C0624,24867.37,UPI,success,none,0,0,349,4,3,0.75,0,0,0,none,1,24867.37
TX00093,C2155,45540.0,UPI,failed,technical_error,1,0,86,16,8,0.5,1,1,0,payment_link,0,0.0
TX00094,C1346,42646.6,WALLET,abandoned,checkout_dropoff,3,1,564,2,2,1.0,0,0,1,payment_link,1,42646.6
TX00095,C0932,37388.97,WALLET,abandoned,checkout_dropoff,0,1,464,6,5,0.83,1,15,0,payment_link,1,37388.97
TX00096,C1202,18051.47,WALLET,success,none,0,0,553,14,9,0.64,0,0,0,none,1,18051.47
TX00097,C0697,8918.45,WALLET,success,none,0,0,256,16,4,0.25,0,0,0,none,1,8918.45
TX00098,C1889,31967.65,WALLET,success,none,0,0,19,15,9,0.6,0,0,0,none,1,31967.65
TX00099,C0303,22198.14,NETBANKING,abandoned,checkout_dropoff,2,1,444,9,7,0.78,1,0,0,send_reminder,0,0.0
TX00100,C0972,19191.94,NETBANKING,success,none,0,0,312,1,1,1.0,1,0,0,none,1,19191.94
TX00101,C0201,45548.72,WALLET,failed,insufficient_funds,1,0,370,8,3,0.38,1,3,2,send_reminder,0,0.0
TX00102,C0561,31486.76,UPI,success,none,0,0,461,2,2,1.0,1,3,0,none,1,31486.76
TX00103,C0370,45499.47,NETBANKING,failed,bank_error,1,0,145,18,11,0.61,1,7,1,payment_link,1,45499.47
TX00104,C1209,37378.66,NETBANKING,failed,technical_error,0,0,154,8,6,0.75,1,0,1,payment_link,1,37378.66
TX00105,C2198,6354.72,NETBANKING,failed,insufficient_funds,4,0,400,12,1,0.08,0,0,2,send_reminder,1,6354.72
TX00106,C2300,16534.71,CARD,success,none,0,0,485,10,10,1.0,1,0,0,none,1,16534.71
TX00107,C0186,47323.82,NETBANKING,abandoned,checkout_dropoff,0,1,109,8,8,1.0,0,0,2,send_reminder,1,47323.82
TX00108,C2213,21072.51,CARD,failed,network_error,3,0,427,9,0,0.0,1,0,1,retry_payment,0,0.0
TX00109,C0968,42801.42,UPI,abandoned,checkout_dropoff,2,1,567,12,0,0.0,1,0,1,payment_link,0,0.0
TX00110,C0376,33205.88,UPI,success,none,0,0,351,8,2,0.25,0,0,0,none,1,33205.88
TX00111,C0282,41524.93,CARD,success,none,0,0,248,11,2,0.18,0,0,0,none,1,41524.93
TX00112,C1136,42948.63,CARD,abandoned,checkout_dropoff,4,1,266,6,0,0.0,0,0,0,payment_link,1,42948.63
TX00113,C2412,16323.82,CARD,success,none,0,0,139,14,8,0.57,0,0,0,none,1,16323.82
TX00114,C0261,23917.05,NETBANKING,success,none,0,0,121,15,7,0.47,0,0,0,none,1,23917.05
TX00115,C2136,15221.19,UPI,success,none,0,0,500,13,6,0.46,0,0,0,none,1,15221.19
TX00116,C2009,35677.59,WALLET,success,none,0,0,92,11,9,0.82,0,0,0,none,1,35677.59
TX00117,C0270,6484.34,NETBANKING,success,none,0,0,553,10,7,0.7,1,0,0,none,1,6484.34
TX00118,C0469,42669.08,CARD,success,none,0,0,243,14,5,0.36,1,0,0,none,1,42669.08
TX00119,C0390,15764.91,NETBANKING,failed,insufficient_funds,1,0,495,3,0,0.0,0,0,0,send_reminder,1,15764.91
TX00120,C1527,40626.11,UPI,success,none,0,0,585,18,10,0.56,0,0,0,none,1,40626.11
TX00121,C1683,17809.18,WALLET,failed,network_error,2,0,329,12,1,0.08,0,0,0,retry_payment,0,0.0
TX00122,C1976,11367.39,UPI,success,none,0,0,579,12,1,0.08,1,1,0,none,1,11367.39
TX00123,C1758,42288.73,UPI,success,none,0,0,283,1,0,0.0,1,3,0,none,1,42288.73
TX00124,C1266,46092.57,NETBANKING,success,none,0,0,156,19,12,0.63,0,0,0,none,1,46092.57
TX00125,C0582,37100.26,UPI,success,none,0,0,553,7,6,0.86,1,0,0,none,1,37100.26
TX00126,C0645,18628.64,NETBANKING,failed,timeout,4,0,96,2,0,0.0,0,0,2,retry_payment,0,0.0
TX00127,C0204,33763.64,NETBANKING,success,none,0,0,444,16,14,0.88,1,0,0,none,1,33763.64
TX00128,C2099,5868.11,WALLET,success,none,0,0,508,17,9,0.53,0,0,0,none,1,5868.11
TX00129,C0904,19884.12,UPI,success,none,0,0,318,7,2,0.29,1,0,0,none,1,19884.12
TX00130,C0492,584.95,WALLET,success,none,0,0,399,18,7,0.39,1,0,0,none,1,584.95
TX00131,C0174,21923.74,WALLET,abandoned,checkout_dropoff,2,1,599,14,9,0.64,1,3,1,send_reminder,1,21923.74
TX00132,C0086,48316.74,CARD,failed,timeout,3,0,380,3,3,1.0,0,0,0,retry_payment,0,0.0
TX00133,C1785,29525.79,UPI,success,none,0,0,327,11,3,0.27,1,7,0,none,1,29525.79
TX00134,C0313,25622.07,UPI,success,none,0,0,208,12,5,0.42,0,0,0,none,1,25622.07
TX00135,C0968,5319.67,NETBANKING,success,none,0,0,166,3,1,0.33,1,0,0,none,1,5319.67
TX00136,C2310,38041.88,WALLET,failed,timeout,4,0,340,11,2,0.18,1,0,1,retry_payment,0,0.0
TX00137,C1241,39857.22,UPI,success,none,0,0,85,10,7,0.7,1,0,0,none,1,39857.22
TX00138,C1511,41618.49,UPI,success,none,0,0,102,20,19,0.95,1,0,0,none,1,41618.49
TX00139,C2271,47720.73,UPI,success,none,0,0,595,7,5,0.71,1,1,0,none,1,47720.73
TX00140,C0254,22636.05,NETBANKING,abandoned,checkout_dropoff,0,1,526,6,0,0.0,0,0,2,send_reminder,0,0.0
TX00141,C2142,30568.31,NETBANKING,success,none,0,0,299,13,6,0.46,1,3,0,none,1,30568.31
TX00142,C0215,39503.5,NETBANKING,success,none,0,0,106,18,12,0.67,1,0,0,none,1,39503.5
TX00143,C2469,43689.33,NETBANKING,success,none,0,0,154,12,4,0.33,1,0,0,none,1,43689.33
TX00144,C0348,15617.18,WALLET,success,none,0,0,346,5,5,1.0,0,0,0,none,1,15617.18
TX00145,C1735,25522.73,UPI,success,none,0,0,194,7,5,0.71,1,0,0,none,1,25522.73
TX00146,C0564,7916.27,NETBANKING,failed,network_error,4,0,562,17,1,0.06,1,15,2,retry_payment,0,0.0
TX00147,C0537,29942.87,CARD,success,none,0,0,179,15,1,0.07,1,0,0,none,1,29942.87
TX00148,C0973,48485.51,NETBANKING,failed,technical_error,1,0,556,8,4,0.5,1,15,2,payment_link,1,48485.51
TX00149,C2337,49225.1,WALLET,failed,technical_error,4,0,550,14,2,0.14,0,0,0,payment_link,0,0.0
TX00150,C1025,2798.55,WALLET,failed,timeout,0,0,538,4,2,0.5,0,0,1,retry_payment,0,0.0
TX00151,C1841,45284.25,CARD,failed,network_error,1,0,471,12,0,0.0,1,0,0,retry_payment,1,45284.25
TX00152,C1582,49727.36,NETBANKING,success,none,0,0,336,4,2,0.5,0,0,0,none,1,49727.36
TX00153,C0564,2107.5,WALLET,failed,bank_error,3,0,469,20,0,0.0,0,0,0,payment_link,1,2107.5
TX00154,C0613,27530.45,WALLET,success,none,0,0,305,8,4,0.5,0,0,0,none,1,27530.45
TX00155,C0196,12074.29,WALLET,success,none,0,0,521,20,17,0.85,0,0,0,none,1,12074.29
TX00156,C2111,28837.36,CARD,success,none,0,0,11,20,11,0.55,0,0,0,none,1,28837.36
TX00157,C2338,20945.07,UPI,success,none,0,0,379,3,0,0.0,1,15,0,none,1,20945.07
TX00158,C0179,31856.41,NETBANKING,success,none,0,0,26,12,12,1.0,0,0,0,none,1,31856.41
TX00159,C1413,12208.07,UPI,failed,insufficient_funds,1,0,55,12,8,0.67,1,7,2,send_reminder,1,12208.07
TX00160,C1904,49044.8,WALLET,success,none,0,0,148,3,3,1.0,0,0,0,none,1,49044.8
TX00161,C1202,10239.23,CARD,failed,insufficient_funds,2,0,537,13,13,1.0,1,0,0,send_reminder,0,0.0
TX00162,C1172,17977.31,UPI,failed,insufficient_funds,2,0,137,12,6,0.5,1,3,1,send_reminder,0,0.0
TX00163,C1389,48691.43,WALLET,failed,insufficient_funds,4,0,283,3,3,1.0,0,0,0,send_reminder,1,48691.43
TX00164,C2235,14829.57,UPI,success,none,0,0,312,10,7,0.7,1,0,0,none,1,14829.57
TX00165,C1819,17707.04,UPI,failed,insufficient_funds,4,0,455,9,0,0.0,0,0,1,send_reminder,0,0.0
TX00166,C1489,25751.68,CARD,abandoned,checkout_dropoff,1,1,458,2,0,0.0,0,0,1,payment_link,0,0.0
TX00167,C1484,19266.15,UPI,success,none,0,0,470,12,5,0.42,1,7,0,none,1,19266.15
TX00168,C2351,7057.22,NETBANKING,success,none,0,0,295,8,1,0.12,0,0,0,none,1,7057.22
TX00169,C0763,25052.39,WALLET,abandoned,checkout_dropoff,0,1,278,9,7,0.78,0,0,1,send_reminder,0,0.0
TX00170,C0820,6307.34,UPI,success,none,0,0,465,3,2,0.67,1,3,0,none,1,6307.34
TX00171,C2253,27200.13,NETBANKING,failed,bank_error,2,0,530,8,1,0.12,0,0,0,payment_link,0,0.0
TX00172,C2024,1508.94,NETBANKING,success,none,0,0,574,5,4,0.8,0,0,0,none,1,1508.94
TX00173,C0270,15602.68,WALLET,success,none,0,0,429,19,2,0.11,0,0,0,none,1,15602.68
TX00174,C1299,32188.46,WALLET,success,none,0,0,539,12,2,0.17,0,0,0,none,1,32188.46
TX00175,C0529,21744.39,UPI,failed,timeout,1,0,321,6,1,0.17,1,30,2,retry_payment,1,21744.39
TX00176,C1164,42327.5,NETBANKING,success,none,0,0,574,9,2,0.22,1,1,0,none,1,42327.5
TX00177,C0383,25228.14,CARD,success,none,0,0,167,6,5,0.83,1,7,0,none,1,25228.14
TX00178,C2309,2251.48,UPI,success,none,0,0,600,9,3,0.33,1,1,0,none,1,2251.48
TX00179,C0125,25002.3,NETBANKING,success,none,0,0,319,16,7,0.44,1,0,0,none,1,25002.3
TX00180,C0299,34492.96,CARD,success,none,0,0,505,15,6,0.4,1,1,0,none,1,34492.96
TX00181,C1281,43101.96,NETBANKING,failed,insufficient_funds,3,0,143,12,8,0.67,0,0,1,send_reminder,1,43101.96
TX00182,C0502,13520.09,CARD,success,none,0,0,61,10,6,0.6,1,0,0,none,1,13520.09
TX00183,C0655,40711.2,NETBANKING,success,none,0,0,173,16,16,1.0,1,0,0,none,1,40711.2
TX00184,C1264,24969.04,UPI,abandoned,checkout_dropoff,4,1,478,8,3,0.38,1,0,2,send_reminder,1,24969.04
TX00185,C1928,14430.27,UPI,failed,technical_error,1,0,280,12,12,1.0,1,0,2,payment_link,1,14430.27
TX00186,C2302,9893.83,NETBANKING,success,none,0,0,526,15,8,0.53,0,0,0,none,1,9893.83
TX00187,C0528,48759.12,WALLET,success,none,0,0,357,18,11,0.61,0,0,0,none,1,48759.12
TX00188,C0816,30202.65,WALLET,success,none,0,0,56,2,0,0.0,1,7,0,none,1,30202.65
TX00189,C2128,22958.03,CARD,success,none,0,0,336,6,3,0.5,1,1,0,none,1,22958.03
TX00190,C2078,41448.81,WALLET,failed,insufficient_funds,3,0,27,12,5,0.42,0,0,2,send_reminder,0,0.0
TX00191,C1261,39878.39,UPI,success,none,0,0,281,19,18,0.95,0,0,0,none,1,39878.39
TX00192,C0211,29259.46,CARD,success,none,0,0,399,5,5,1.0,0,0,0,none,1,29259.46
TX00193,C0130,28714.0,UPI,success,none,0,0,461,11,6,0.55,0,0,0,none,1,28714.0
TX00194,C1692,34586.91,WALLET,success,none,0,0,492,2,2,1.0,0,0,0,none,1,34586.91
TX00195,C2125,10525.62,NETBANKING,abandoned,checkout_dropoff,3,1,548,13,5,0.38,0,0,1,send_reminder,0,0.0
TX00196,C2238,17843.49,NETBANKING,success,none,0,0,206,8,4,0.5,1,0,0,none,1,17843.49
TX00197,C1220,38604.48,CARD,failed,technical_error,2,0,501,12,8,0.67,1,0,2,payment_link,1,38604.48
TX00198,C1556,44808.87,WALLET,failed,bank_error,2,0,53,10,1,0.1,1,15,2,payment_link,0,0.0
TX00199,C1963,10856.54,NETBANKING,abandoned,checkout_dropoff,2,1,150,4,4,1.0,0,0,2,payment_link,1,10856.54
TX00200,C0925,31969.64,UPI,success,none,0,0,348,16,3,0.19,0,0,0,none,1,31969.64
TX00201,C0022,48233.03,CARD,success,none,0,0,497,16,6,0.38,1,0,0,none,1,48233.03
TX00202,C0243,45415.26,UPI,failed,bank_error,4,0,48,6,3,0.5,0,0,0,payment_link,0,0.0
TX00203,C1627,39440.44,CARD,abandoned,checkout_dropoff,2,1,48,1,1,1.0,0,0,2,send_reminder,1,39440.44
TX00204,C2226,26311.06,CARD,failed,technical_error,2,0,207,4,2,0.5,0,0,2,payment_link,0,0.0
TX00205,C1054,35986.19,UPI,failed,insufficient_funds,4,0,207,6,4,0.67,1,7,0,send_reminder,0,0.0
TX00206,C1642,33528.94,CARD,abandoned,checkout_dropoff,3,1,341,8,0,0.0,1,0,1,send_reminder,0,0.0
TX00207,C1237,29206.55,UPI,success,none,0,0,378,8,0,0.0,0,0,0,none,1,29206.55
TX00208,C1907,15478.96,WALLET,failed,insufficient_funds,0,0,312,12,9,0.75,0,0,0,send_reminder,1,15478.96
TX00209,C1959,7828.64,NETBANKING,success,none,0,0,572,16,6,0.38,0,0,0,none,1,7828.64
TX00210,C2441,43682.13,UPI,success,none,0,0,550,12,1,0.08,0,0,0,none,1,43682.13
TX00211,C0253,41472.95,CARD,success,none,0,0,163,6,2,0.33,1,0,0,none,1,41472.95
TX00212,C0842,35902.51,WALLET,success,none,0,0,532,15,1,0.07,1,0,0,none,1,35902.51
TX00213,C1702,22948.56,UPI,success,none,0,0,325,1,1,1.0,1,7,0,none,1,22948.56
TX00214,C0893,28999.9,UPI,success,none,0,0,75,18,1,0.06,0,0,0,none,1,28999.9
TX00215,C1934,1780.4,WALLET,success,none,0,0,148,14,5,0.36,1,0,0,none,1,1780.4
TX00216,C1547,18907.15,CARD,failed,insufficient_funds,0,0,192,18,12,0.67,0,0,0,send_reminder,0,0.0
TX00217,C0015,37857.73,NETBANKING,success,none,0,0,567,14,8,0.57,1,7,0,none,1,37857.73
TX00218,C1014,23139.14,CARD,success,none,0,0,125,2,2,1.0,1,1,0,none,1,23139.14
TX00219,C0065,12185.18,UPI,success,none,0,0,44,15,1,0.07,0,0,0,none,1,12185.18
TX00220,C0182,20232.81,CARD,success,none,0,0,67,5,4,0.8,1,0,0,none,1,20232.81
TX00221,C2360,16081.4,NETBANKING,success,none,0,0,156,17,7,0.41,1,0,0,none,1,16081.4
TX00222,C0250,27924.56,CARD,success,none,0,0,447,18,15,0.83,0,0,0,none,1,27924.56
TX00223,C1411,47091.0,WALLET,failed,insufficient_funds,3,0,428,5,2,0.4,1,0,0,send_reminder,0,0.0
TX00224,C0924,15176.67,CARD,failed,network_error,4,0,432,14,8,0.57,0,0,1,retry_payment,0,0.0
TX00225,C0995,12898.78,NETBANKING,success,none,0,0,470,12,1,0.08,0,0,0,none,1,12898.78
TX00226,C0212,13569.39,UPI,failed,bank_error,4,0,582,7,7,1.0,0,0,1,payment_link,0,0.0
TX00227,C1242,47859.58,UPI,success,none,0,0,204,4,3,0.75,0,0,0,none,1,47859.58
TX00228,C2476,35247.68,WALLET,abandoned,checkout_dropoff,4,1,339,10,6,0.6,1,1,1,send_reminder,1,35247.68
TX00229,C2101,44164.04,WALLET,success,none,0,0,490,11,3,0.27,1,0,0,none,1,44164.04
TX00230,C0188,28213.73,CARD,failed,network_error,2,0,576,19,18,0.95,1,0,0,retry_payment,0,0.0
TX00231,C1352,11654.93,CARD,success,none,0,0,355,9,7,0.78,1,0,0,none,1,11654.93
TX00232,C1443,8629.43,WALLET,success,none,0,0,565,2,2,1.0,0,0,0,none,1,8629.43
TX00233,C0305,47270.37,UPI,failed,technical_error,1,0,246,3,1,0.33,0,0,1,payment_link,1,47270.37
TX00234,C1529,3210.42,WALLET,failed,network_error,0,0,554,18,13,0.72,0,0,2,retry_payment,1,3210.42
TX00235,C1126,26879.76,NETBANKING,success,none,0,0,450,6,0,0.0,0,0,0,none,1,26879.76
TX00236,C2148,7615.09,CARD,success,none,0,0,268,12,4,0.33,1,0,0,none,1,7615.09
TX00237,C1664,23058.09,CARD,abandoned,checkout_dropoff,1,1,317,3,0,0.0,0,0,2,send_reminder,1,23058.09
TX00238,C1950,2994.52,UPI,failed,network_error,3,0,454,11,9,0.82,0,0,2,retry_payment,0,0.0
TX00239,C0175,11642.37,WALLET,success,none,0,0,86,9,8,0.89,0,0,0,none,1,11642.37
TX00240,C0735,46452.56,NETBANKING,success,none,0,0,222,19,4,0.21,1,15,0,none,1,46452.56
TX00241,C1226,8290.02,CARD,success,none,0,0,408,18,10,0.56,1,7,0,none,1,8290.02
TX00242,C0574,39566.8,UPI,success,none,0,0,364,2,0,0.0,1,0,0,none,1,39566.8
TX00243,C0312,17161.52,WALLET,abandoned,checkout_dropoff,2,1,40,9,7,0.78,1,0,2,send_reminder,1,17161.52
TX00244,C2400,33101.46,UPI,failed,insufficient_funds,1,0,85,3,2,0.67,0,0,2,send_reminder,1,33101.46
TX00245,C0632,37034.83,NETBANKING,success,none,0,0,103,1,1,1.0,1,0,0,none,1,37034.83
TX00246,C1105,5291.12,UPI,success,none,0,0,469,18,17,0.94,1,0,0,none,1,5291.12
TX00247,C0368,17824.93,UPI,success,none,0,0,342,13,0,0.0,1,0,0,none,1,17824.93
TX00248,C0347,36297.22,CARD,success,none,0,0,183,13,2,0.15,0,0,0,none,1,36297.22
